Mandarin,English,Length
鸡,Chicken,1
狼,Wolf,1
熊,Bear,1
鹅,Goose,1
鹿,Deer,1
龙,Dragon,1
牛,Ox,1
狗,Dog,1
马,Horse,1
虾,Shrimp,1
驴,Donkey,1
猫,Cat,1
羊,Sheep,1
蛇,Snake,1
猪,Pig,1
蝉,Cicada,1
蚕,Silkworm,1
鲎,Horseshoe Crab,1
鹰,Eagle,1
貉,Raccoon Dog,1
貘,Tapir,1
虫,Insect,1
豺,Jackal,1
貂,Mink,1
公鸡,Rooster,2
鲨鱼,Shark,2
牡蛎,Oyster,2
山羊,Goat,2
考拉,Koala,2
蜗牛,Snails,2
蝎子,Scorpion,2
猴子,Monkey,2
青蛙,Frog,2
猎豹,Cheetah,2
狮子,Lion,2
兔子,Rabbit,2
水母,Jellyfish,2
章鱼,Octopus,2
瓢虫,Ladybug,2
天鹅,Swan,2
松鼠,Squirrel,2
螃蟹,Crab,2
蜜蜂,Bee,2
凤凰,Phoenix,2
蝙蝠,Bat,2
仓鼠,Hamster,2
老鼠,Mouse,2
企鹅,Penguin,2
狐狸,Fox,2
水懒,Water Lazy,2
刺猬,Hedgehog,2
斑马,Zebra,2
鲸鱼,Whale,2
龙虾,Lobster,2
鹦鹉,Parrot,2
蜥蜴,Lizard,2
大象,Elephant,2
海豚,Dolphin,2
老虎,Tiger,2
孔雀,Peacock,2
鳄鱼,Crocodile,2
袋鼠,Kangaroo,2
骆驼,Camel,2
蝴蝶,Butterfly,2
鸭子,Duck,2
乌龟,Turtle,2
河马,Hippo,2
乌鸦,Crow,2
公牛,Bull,2
刺蝟,Hedgehog,2
河狸,Beaver,2
河豚,Pufferfish,2
火鸡,Turkey,2
熊猫,Panda,2
犀牛,Rhino,2
蚊子,Mosquito,2
恐龙,Dinosaur,2
蚂蚁,Ant,2
蜘蛛,Spider,2
蟑螂,Cockroach,2
苍蝇,Fly,2
鸽子,Pigeon,2
蟒蛇,Python,2
金鱼,Goldfish,2
麻雀,Sparrow,2
龙猫,Chinchilla,2
蜻蜓,Dragonfly,2
猩猩,Chimpanzees,2
果蝇,Fruit Fly,2
蚯蚓,Earthworm,2
虎鲸,Killer Whale,2
螳螂,Mantis,2
蜈蚣,Centipede,2
